Link,Author Keywords,EID
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-49349133217&doi=10.1016%2f0165-0114%2878%2990029-5&partnerID=40&md5=b6ccd84d3418b4f13625a67c89a277ec",,2-s2.0-49349133217
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036161259&doi=10.1023%2fA%3a1012487302797&partnerID=40&md5=3a5b2b22190f689404bcbc9e1ec00e25","Cancer classification; Diagnosis; Diagnostic tests; DNA micro-array; Drug discovery; Feature selection; Gene selection; Genomics; Proteomics; Recursive feature elimination; RNA expression; Support vector machines",2-s2.0-0036161259
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-26444565569&doi=10.1016%2f0364-0213%2890%2990002-E&partnerID=40&md5=91b36562ba1395856ed9903cf264861d",,2-s2.0-26444565569
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031381525&doi=10.1016%2fs0004-3702%2897%2900043-x&partnerID=40&md5=ae209bd9b1c6a6eef99daae1f55f062f","Classification; Feature selection; Filter; Wrapper",2-s2.0-0031381525
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028013193&partnerID=40&md5=46f5a89e7abca0ba1d9056f3372858ea",,2-s2.0-85028013193
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042826822&doi=10.1016%2fS0893-6080%2800%2900026-5&partnerID=40&md5=fef03d403f6702d39e8e6b15eafa68dc","Blind signal separation; Factor analysis; Independent component analysis; Projection pursuit; Representation; Source separation",2-s2.0-0042826822
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974687699&doi=10.1145%2f321738.321743&partnerID=40&md5=63ab7c7011179b38f47e90d5b8109b24","deadline driven scheduling; dynamic scheduling; multiprogram scheduling; priority assignment; processor utilization; real-time multiprogramming; scheduling",2-s2.0-84974687699
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950369345&doi=10.1016%2fj.patrec.2009.09.011&partnerID=40&md5=07fd8ca08e7f0fda5f0ede842575c61f","Data clustering; Historical developments; King-Sun Fu prize; Perspectives on clustering; User's dilemma",2-s2.0-77950369345
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-69349090197&doi=10.1561%2f2200000006&partnerID=40&md5=e403c466e1a65a59ac7e4bfebff7a29f",,2-s2.0-69349090197
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-50949133669&partnerID=40&md5=df28981e9adc1a7ce2b2b750555dcd0b","Large-scale linear classification; Logistic regression; Machine learning; Open source; Support vector machines",2-s2.0-50949133669
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871868072&doi=10.1016%2fj.jml.2012.11.001&partnerID=40&md5=2f93e4174ff75eb46c40e34e866c793c","Generalization; Linear mixed-effects models; Monte Carlo simulation; Statistics",2-s2.0-84871868072
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036811662&doi=10.1142%2fS0218488502001648&partnerID=40&md5=1c13b944093120413d271683a4866d2f","Data anonymity; Data fusion; Data privacy; Privacy; Re-identification",2-s2.0-0036811662
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036537472&doi=10.1023%2fA%3a1014573219977&partnerID=40&md5=d9f3208dfd5cd3d936999259fcbef159","Evaluation of performance; Stereo correspondence software; Stereo matching survey",2-s2.0-0036537472
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029669420&doi=10.1016%2f0031-3203%2895%2900067-4&partnerID=40&md5=ab3c793620b5cfdbd868cecd526156f4","Brodatz textures; Classification; Feature distribution; Kullback discriminant; Performance evaluation; Texture analysis",2-s2.0-0029669420
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-4243148480&doi=10.1145%2f324133.324140&partnerID=40&md5=814f5b793557b43aeb19f12cd400fc66","Graph algorithms; Hypertext structure; Link analysis; World wide web",2-s2.0-4243148480
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052250414&partnerID=40&md5=31d2416429b7b367cc6d22799e71893c","Adaptivity; Online learning; Stochastic convex optimization; Subgradient methods",2-s2.0-80052250414
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247529903&doi=10.1016%2f0010-0285%2873%2990033-9&partnerID=40&md5=87857f01abad2334a6eec400c72a9bff",,2-s2.0-34247529903
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921069139&doi=10.1007%2fs11263-014-0733-5&partnerID=40&md5=434409aa40b5e31692ac135aa63c6ea8","Benchmark; Database; Object detection; Object recognition; Segmentation",2-s2.0-84921069139
